movie_id,title,year,genres,keywords,cast,director,overview,vote_average,vote_count,popularity,runtime,poster_url,source,avg_user_rating,user_rating_count
27205,Inception,2010,Action|Science Fiction|Adventure,"dream|subconscious|heist|mind-bending|memory","Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page|Tom Hardy|Marion Cotillard",Christopher Nolan,"A skilled extractor leads a corporate heist inside layered dreams, where guilt and unstable reality threaten the mission.",8.4,34400,83.1,148,,demo_curated,4.3,19876
157336,Interstellar,2014,Adventure|Drama|Science Fiction,"space travel|black hole|time dilation|father daughter relationship|survival","Matthew McConaughey|Anne Hathaway|Jessica Chastain|Mackenzie Foy|Michael Caine",Christopher Nolan,"As Earth collapses, a former pilot joins a desperate voyage through a wormhole in search of a habitable future for humanity.",8.4,32910,79.6,169,,demo_curated,4.4,22650
335984,Blade Runner 2049,2017,Science Fiction|Drama|Mystery,"android|future noir|memory|artificial intelligence|replicant","Ryan Gosling|Harrison Ford|Ana de Armas|Sylvia Hoeks|Robin Wright",Denis Villeneuve,"A new blade runner uncovers a buried secret that could shatter what remains of society and reshape the future of artificial life.",7.9,13450,62.5,164,,demo_curated,4.1,10222
78,Blade Runner,1982,Science Fiction|Drama|Thriller,"replicant|cyberpunk|future noir|identity|rain","Harrison Ford|Rutger Hauer|Sean Young|Edward James Olmos|Daryl Hannah",Ridley Scott,"A weary cop hunts bioengineered fugitives in a rain-soaked Los Angeles where the line between human and machine has eroded.",7.9,12880,51.4,117,,demo_curated,4.1,12044
603,The Matrix,1999,Action|Science Fiction,"simulation|chosen one|cyberpunk|martial arts|reality","Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Joe Pantoliano",Lana Wachowski,"A hacker learns his world is a machine-made simulation and joins a rebellion fighting to free humanity.",8.2,25670,72.9,136,,demo_curated,4.3,24010
76341,Mad Max: Fury Road,2015,Action|Adventure|Science Fiction,"post-apocalyptic|desert|chase|survival|rebellion","Tom Hardy|Charlize Theron|Nicholas Hoult|Hugh Keays-Byrne|Rosie Huntington-Whiteley",George Miller,"In a brutal wasteland, a road war becomes a furious escape as survivors race across the desert toward freedom.",7.9,22240,68.2,121,,demo_curated,4.3,18842
496243,Parasite,2019,Thriller|Drama|Comedy,"class divide|family|deception|social satire|infiltration","Song Kang-ho|Lee Sun-kyun|Cho Yeo-jeong|Choi Woo-shik|Park So-dam",Bong Joon Ho,"A poor family slowly inserts itself into a wealthy household, only for buried tensions and dark secrets to erupt.",8.5,18610,74.3,133,,demo_curated,4.6,17120
244786,Whiplash,2014,Drama|Music,"jazz|obsession|perfectionism|music school|mentor","Miles Teller|J.K. Simmons|Paul Reiser|Melissa Benoist|Austin Stowell",Damien Chazelle,"An ambitious drummer pushes himself to the edge under a ruthless instructor who confuses greatness with abuse.",8.4,15200,56.1,107,,demo_curated,4.5,15930
313369,La La Land,2016,Comedy|Drama|Music|Romance,"hollywood|jazz|dreams|musical|love story","Emma Stone|Ryan Gosling|John Legend|Rosemarie DeWitt|Finn Wittrock",Damien Chazelle,"A pianist and an aspiring actor fall in love while chasing creative ambition in a dazzling, bittersweet Los Angeles.",7.9,15750,59.4,128,,demo_curated,4.0,11850
419430,Get Out,2017,Mystery|Thriller|Horror,"racism|suburbia|body snatching|satire|psychological horror","Daniel Kaluuya|Allison Williams|Lil Rel Howery|Bradley Whitford|Catherine Keener",Jordan Peele,"A weekend visit with his girlfriend's family turns into a chilling confrontation with polished menace and stolen identities.",7.6,17680,55.8,104,,demo_curated,4.2,14500
129,Spirited Away,2001,Animation|Family|Fantasy,"coming of age|spirits|bathhouse|magic|identity","Rumi Hiiragi|Miyu Irino|Mari Natsuki|Bunta Sugawara|Yasuko Sawaguchi",Hayao Miyazaki,"A young girl wanders into a spirit world and must find courage, compassion, and her true name to save her parents.",8.5,16120,61.2,125,,demo_curated,4.6,16840
120467,The Grand Budapest Hotel,2014,Comedy|Drama|Adventure,"hotel|concierge|painting theft|storybook|fascism","Ralph Fiennes|Tony Revolori|Saoirse Ronan|Adrien Brody|Willem Dafoe",Wes Anderson,"A legendary concierge and his lobby boy race through a confectionary Europe tangled in inheritance, theft, and war.",8.1,11150,44.2,100,,demo_curated,4.2,10810
6977,No Country for Old Men,2007,Crime|Drama|Thriller,"hitman|cat and mouse|violence|borderland|fate","Tommy Lee Jones|Javier Bardem|Josh Brolin|Woody Harrelson|Kelly Macdonald",Joel Coen,"After a hunter finds drug money in the desert, he becomes the target of a relentless killer and a weary sheriff.",8.1,10490,46.8,122,,demo_curated,4.2,9830
152601,Her,2013,Romance|Science Fiction|Drama,"loneliness|operating system|future|love|artificial intelligence","Joaquin Phoenix|Scarlett Johansson|Amy Adams|Rooney Mara|Olivia Wilde",Spike Jonze,"A lonely writer forms a deep bond with an advanced operating system that seems to understand him better than anyone else.",7.9,13800,52.7,126,,demo_curated,4.3,13200
264660,Ex Machina,2014,Drama|Science Fiction|Thriller,"android|turing test|isolation|manipulation|tech billionaire","Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson",Alex Garland,"A programmer is invited to test the humanity of a brilliant humanoid AI inside an isolated research estate.",7.6,12530,48.6,108,,demo_curated,4.1,11260
331482,Little Women,2019,Drama|Romance,"sisters|coming of age|writer|family|period drama","Saoirse Ronan|Emma Watson|Florence Pugh|Eliza Scanlen|Laura Dern",Greta Gerwig,"Four sisters grow into themselves through art, love, grief, and independence in a warm and restless portrait of family.",8.0,8120,39.6,135,,demo_curated,4.3,8442
324857,Spider-Man: Into the Spider-Verse,2018,Animation|Action|Adventure,"multiverse|teen hero|comic book|brooklyn|kinetic animation","Shameik Moore|Jake Johnson|Hailee Steinfeld|Mahershala Ali|Brian Tyree Henry",Bob Persichetti,"Miles Morales becomes Spider-Man and teams with heroes from other dimensions in a visually explosive coming-of-age adventure.",8.4,15440,64.0,117,,demo_curated,4.5,16440
376867,Moonlight,2016,Drama,"identity|masculinity|childhood|queer romance|miami","Trevante Rhodes|André Holland|Janelle Monáe|Mahershala Ali|Naomie Harris",Barry Jenkins,"A young man navigates childhood, desire, and selfhood across three fragile stages of life in Miami.",8.0,7210,31.8,111,,demo_curated,4.4,7920
37799,The Social Network,2010,Drama,"startup|ambition|betrayal|college|technology","Jesse Eisenberg|Andrew Garfield|Justin Timberlake|Armie Hammer|Max Minghella",David Fincher,"The founding of Facebook becomes a sharp-edged story of ambition, ego, and fractured friendship.",7.8,11980,42.6,121,,demo_curated,4.2,11220
545611,Everything Everywhere All at Once,2022,Action|Adventure|Science Fiction|Comedy,"multiverse|family|immigrant experience|absurdism|parallel lives","Michelle Yeoh|Ke Huy Quan|Stephanie Hsu|Jamie Lee Curtis|James Hong",Daniel Kwan,"A stressed laundromat owner is thrust into a chaotic multiverse battle where empathy becomes the key to saving reality.",8.1,9680,66.7,140,,demo_curated,4.4,13110
438631,Dune,2021,Science Fiction|Adventure,"desert planet|messiah|politics|prophecy|house rivalry","Timothée Chalamet|Rebecca Ferguson|Oscar Isaac|Zendaya|Jason Momoa",Denis Villeneuve,"A gifted heir arrives on the galaxy's most dangerous planet and is drawn into a brutal struggle over power and destiny.",7.8,12120,77.4,155,,demo_curated,4.1,14300
120,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Fantasy|Action,"quest|ring|friendship|middle-earth|epic fantasy","Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Orlando Bloom",Peter Jackson,"A humble hobbit begins a perilous journey to destroy a ring of unimaginable power before darkness engulfs Middle-earth.",8.4,25110,68.1,179,,demo_curated,4.5,23480
348,Alien,1979,Horror|Science Fiction,"spaceship|creature feature|survival|corporation|claustrophobia","Sigourney Weaver|Tom Skerritt|John Hurt|Veronica Cartwright|Harry Dean Stanton",Ridley Scott,"The crew of a commercial spaceship answers a distress signal and finds a perfect organism stalking them in the dark.",8.2,14210,49.8,117,,demo_curated,4.3,13720
289,Casablanca,1942,Drama|Romance|War,"world war ii|nightclub|sacrifice|resistance|old hollywood","Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains|Conrad Veidt",Michael Curtiz,"In wartime Morocco, a cynical nightclub owner must choose between love and moral responsibility.",8.2,6050,23.1,102,,demo_curated,4.3,6180
862,Toy Story,1995,Animation|Comedy|Family,"toys|friendship|jealousy|childhood|adventure","Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn",John Lasseter,"A cowboy doll is threatened by a flashy new space toy and learns what being a friend really means.",8.0,13820,52.3,81,,demo_curated,4.2,12620
278,The Shawshank Redemption,1994,Drama|Crime,"prison|hope|friendship|corruption|escape","Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown",Frank Darabont,"Two imprisoned men sustain each other through years of hardship, quiet rebellion, and a stubborn belief in freedom.",8.7,27020,71.0,142,,demo_curated,4.7,24800
238,The Godfather,1972,Drama|Crime,"mafia|family|power|crime dynasty|patriarch","Marlon Brando|Al Pacino|James Caan|Robert Duvall|Diane Keaton",Francis Ford Coppola,"The aging patriarch of a crime family transfers power to a reluctant son who slowly embraces ruthless authority.",8.7,20200,63.7,175,,demo_curated,4.7,19980
76,Before Sunrise,1995,Drama|Romance,"one night|train|conversation|vienna|young love","Ethan Hawke|Julie Delpy|Andrea Eckert|Hanno Pöschl|Karl Bruckschwaiger",Richard Linklater,"Two strangers meet on a train and spend a single night wandering Vienna, talking as if time can be paused.",8.0,5020,19.3,101,,demo_curated,4.4,5440
546554,Knives Out,2019,Comedy|Crime|Mystery,"whodunit|family secrets|detective|mansion|inheritance","Daniel Craig|Ana de Armas|Chris Evans|Jamie Lee Curtis|Michael Shannon",Rian Johnson,"A flamboyant detective investigates a wealthy family's lies, resentments, and performances after a suspicious death.",7.9,10910,50.2,131,,demo_curated,4.2,11750
508442,Soul,2020,Animation|Family|Fantasy|Drama,"jazz|afterlife|purpose|new york city|self discovery","Jamie Foxx|Tina Fey|Questlove|Phylicia Rashad|Angela Bassett",Pete Docter,"A middle-school music teacher slips between life and the afterlife and rethinks what makes a meaningful existence.",8.1,9200,45.1,101,,demo_curated,4.2,8640
634649,Spider-Man: No Way Home,2021,Action|Adventure|Science Fiction,"multiverse|superhero|identity reveal|memory|team-up","Tom Holland|Zendaya|Benedict Cumberbatch|Jacob Batalon|Willem Dafoe",Jon Watts,"Peter Parker's life unravels after his identity is exposed, opening fractures that pull in villains from other worlds.",8.0,13910,81.8,148,,demo_curated,4.1,13880
872585,Oppenheimer,2023,Drama|History,"biography|atomic bomb|scientist|politics|moral conflict","Cillian Murphy|Emily Blunt|Matt Damon|Robert Downey Jr.|Florence Pugh",Christopher Nolan,"The physicist behind the atomic bomb confronts ambition, paranoia, and the devastating reach of scientific power.",8.1,9800,74.6,181,,demo_curated,4.3,12240

